# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = binomial_1.data.R
# init = 2 (Default)
# random
#   seed = 1474890906
# output
#   file = binomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.873468
# Diagonal elements of inverse mass matrix:
# 0.029704, 2.88461
-86.2553,0.921289,0.873468,1,3,0,87.8553,0.694728,0.20399
-85.8452,0.994894,0.873468,2,3,0,86.2852,0.698345,0.440821
-85.8452,0.784612,0.873468,1,3,0,86.7937,0.698345,0.440821
-85.8452,0.9054,0.873468,1,3,0,86.2954,0.698345,0.440821
-86.4329,0.879974,0.873468,2,3,0,86.5785,0.722752,0.237728
-86.2648,0.944447,0.873468,3,15,0,87.343,0.727271,0.616261
-86.9207,0.870966,0.873468,2,3,0,87.4872,0.726046,0.861484
-85.9342,0.994221,0.873468,2,7,0,86.8301,0.705191,0.626123
-86.1442,0.955542,0.873468,2,3,0,86.295,0.721711,0.385916
-86.9353,0.763215,0.873468,2,3,0,87.6308,0.689231,0.0909592
-85.8385,0.981321,0.873468,1,3,0,87.0509,0.70007,0.484917
-85.8619,0.984241,0.873468,2,7,0,85.9329,0.683127,0.534928
-87.0556,0.846749,0.873468,2,3,0,87.1301,0.737403,0.170282
-86.4617,0.982095,0.873468,2,3,0,87.6423,0.695695,0.156853
-87.0205,0.76462,0.873468,1,3,0,89.2292,0.671336,0.902459
-86.3277,0.990422,0.873468,2,7,0,87.2797,0.731956,0.513048
-86.3684,0.837948,0.873468,2,7,0,87.7637,0.676055,0.800928
-86.3135,1,0.873468,1,1,0,86.4488,0.675011,0.78211
-85.8365,0.992539,0.873468,2,3,0,86.3982,0.698489,0.535022
-85.8766,0.985384,0.873468,1,3,0,85.9725,0.680555,0.486588
-85.9131,0.994449,0.873468,3,15,0,85.9353,0.680825,0.598268
