# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = binomial_1.data.R
# init = 2 (Default)
# random
#   seed = 1273529447
# output
#   file = binomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.900438
# Diagonal elements of inverse mass matrix:
# 0.0265532, 3.51422
-88.4062,0.671355,0.900438,2,3,0,89.4102,0.701417,0.498122
-89.3154,0.834262,0.900438,2,3,0,89.8359,0.610655,0.657514
-88.6316,1,0.900438,2,3,0,89.2096,0.632972,0.627079
-88.569,0.542664,0.900438,2,3,0,92.523,0.658564,0.786544
-88.2169,0.984981,0.900438,1,3,0,88.7653,0.680284,0.366812
-88.1398,0.886567,0.900438,2,3,0,88.6554,0.66345,0.490312
-88.3252,0.890889,0.900438,2,5,0,88.5846,0.688717,0.66309
-88.165,0.984036,0.900438,3,7,0,88.5784,0.678767,0.41508
-88.1873,0.984636,0.900438,1,3,0,88.3423,0.656907,0.474783
-88.839,0.80187,0.900438,2,3,0,89.0693,0.701194,0.797543
-91.2491,0.547105,0.900438,2,3,0,93.9093,0.601799,0.952349
-90.8599,0.966802,0.900438,2,3,0,91.7253,0.732819,0.0604151
-91.4788,0.907532,0.900438,1,1,0,91.8508,0.748722,0.072349
-90.1458,1,0.900438,2,3,0,91.7548,0.626009,0.934634
-89.0008,0.999131,0.900438,2,3,0,90.9384,0.632562,0.205364
-89.4835,0.983241,0.900438,2,3,0,89.7067,0.606832,0.322587
-89.7535,0.993103,0.900438,3,15,0,89.8025,0.598306,0.62839
