# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 1
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = binomial_4.data.R
# init = 2 (Default)
# random
#   seed = 2159457190
# output
#   file = binomial_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.837872
# Diagonal elements of inverse mass matrix:
# 0.11075, 2.74337
-25.9492,1,0.837872,2,3,0,27.1502,0.694192,0.406843
-27.0043,0.753279,0.837872,2,3,0,27.524,0.666658,0.0820807
-27.0043,0.960612,0.837872,1,1,0,27.6822,0.666658,0.0820807
-26.6853,0.969615,0.837872,3,11,0,27.6938,0.709492,0.845536
-26.8947,0.993167,0.837872,2,3,0,26.9981,0.70158,0.888745
-27.496,0.950157,0.837872,1,1,0,27.5178,0.707479,0.939337
-26.8692,1,0.837872,1,1,0,27.4589,0.700625,0.886426
-26.0048,1,0.837872,2,7,0,26.7757,0.682767,0.311723
-26.0995,0.98811,0.837872,2,3,0,26.168,0.628424,0.726505
-26.2777,0.960333,0.837872,2,3,0,26.6858,0.659011,0.19146
-25.9198,0.909412,0.837872,2,3,0,27.2864,0.626318,0.401607
-27.3255,0.828508,0.837872,2,3,0,27.5771,0.517664,0.498578
-27.8435,0.908766,0.837872,1,1,0,27.9894,0.495218,0.483568
-27.0513,1,0.837872,1,1,0,27.829,0.536095,0.350307
-27.0189,0.728781,0.837872,4,19,0,29.5013,0.564634,0.821334
-27.0708,0.998159,0.837872,3,11,0,27.7969,0.750834,0.802298
-25.8673,1,0.837872,2,7,0,26.9221,0.628991,0.505562
-25.8606,0.909963,0.837872,2,3,0,26.6621,0.631504,0.465418
-25.826,0.999888,0.837872,3,15,0,25.8629,0.641754,0.461439
-26.2423,0.889981,0.837872,1,3,0,26.5815,0.70326,0.260107
-29.1555,0.770869,0.837872,3,15,0,29.5481,0.809634,0.11153
-28.7636,1,0.837872,1,1,0,29.4411,0.792988,0.0912103
-28.178,0.998489,0.837872,3,11,0,28.8378,0.512507,0.861631
-26.8579,1,0.837872,1,1,0,27.9542,0.564677,0.778802
-26.6432,0.993189,0.837872,3,11,0,27.4915,0.751107,0.425928
-28.558,0.732989,0.837872,2,3,0,29.2479,0.792276,0.887844
-28.2892,0.997847,0.837872,4,19,0,30.344,0.48308,0.677893
-25.8194,1,0.837872,2,3,0,28.0286,0.644055,0.53577
-25.8194,0.891298,0.837872,1,3,0,26.4142,0.644055,0.53577
-26.7307,0.802854,0.837872,1,3,0,27.1314,0.585036,0.184442
-26.2678,1,0.837872,2,3,0,26.881,0.634726,0.794221
-26.8057,0.77592,0.837872,2,3,0,28.716,0.757562,0.382283
-28.0746,0.763624,0.837872,2,3,0,28.85,0.615824,0.0305861
-27.7725,1,0.837872,1,1,0,28.2008,0.60758,0.0446195
-26.521,1,0.837872,2,3,0,28.0786,0.592388,0.78056
-27.0062,0.930527,0.837872,1,1,0,27.0506,0.58679,0.87154
-27.2283,0.997606,0.837872,3,11,0,27.3757,0.719231,0.0926535
-27.6144,0.99147,0.837872,5,47,0,28.4236,0.751793,0.895226
-27.7542,0.994701,0.837872,1,1,0,27.9876,0.74607,0.920235
-26.3892,1,0.837872,2,3,0,27.8087,0.580265,0.338299
-28.3507,0.774276,0.837872,3,15,0,29.0091,0.504123,0.858622
-25.8575,1,0.837872,2,3,0,28.0248,0.639997,0.410543
-25.9577,0.948967,0.837872,2,7,0,26.1953,0.668089,0.686897
-25.8809,0.999311,0.837872,2,7,0,25.9826,0.681709,0.409139
-25.9653,0.990597,0.837872,2,3,0,25.9994,0.634695,0.669756
-25.8246,0.986269,0.837872,2,7,0,26.124,0.674186,0.470387
-26.0991,0.964185,0.837872,2,3,0,26.1633,0.704127,0.33784
-25.8855,0.99087,0.837872,2,3,0,26.1986,0.682997,0.589574
-25.8822,0.974455,0.837872,1,3,0,26.1606,0.627568,0.545098
-28.2295,0.645626,0.837872,2,3,0,28.3471,0.588524,0.0334405
-26.2832,0.99723,0.837872,2,3,0,28.1829,0.710917,0.271877
-26.0708,1,0.837872,2,3,0,26.2624,0.70681,0.379774
-27.1912,0.866571,0.837872,2,3,0,27.3878,0.739146,0.867828
-25.9371,0.978676,0.837872,1,3,0,27.915,0.677951,0.342767
-25.9847,0.971206,0.837872,2,3,0,26.3318,0.614695,0.408178
-26.2831,0.841268,0.837872,1,3,0,27.3697,0.717384,0.6953
