# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = binomial_2.data.R
# init = 2 (Default)
# random
#   seed = 3633335359
# output
#   file = binomial_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.84789
# Diagonal elements of inverse mass matrix:
# 0.119712, 3.67187
-26.9153,0.918394,0.84789,2,3,0,27.1014,0.733985,0.167734
-27.6878,0.892945,0.84789,1,1,0,27.7691,0.737134,0.0729544
-27.1769,1,0.84789,2,3,0,28.708,0.580156,0.115249
-26.5763,1,0.84789,2,3,0,27.667,0.747907,0.43966
-26.2507,1,0.84789,1,1,0,26.5364,0.727443,0.449791
-26.1841,0.800178,0.84789,2,3,0,28.5082,0.723043,0.499338
-25.8498,0.783593,0.84789,2,3,0,27.4085,0.638044,0.568125
-25.8498,0.577556,0.84789,1,3,0,27.9582,0.638044,0.568125
-26.9844,0.678179,0.84789,1,3,0,27.2202,0.655444,0.916659
-26.2303,0.94969,0.84789,2,3,0,27.3383,0.718392,0.655258
-26.3992,0.975136,0.84789,1,1,0,26.4493,0.732803,0.641901
-26.0459,0.909976,0.84789,1,3,0,27.3987,0.612212,0.636805
-26.0142,1,0.84789,2,3,0,26.1408,0.70372,0.414479
-26.6657,0.89397,0.84789,2,3,0,26.9308,0.563729,0.304223
-26.3232,1,0.84789,2,3,0,26.7562,0.582843,0.634534
-26.3232,0.714984,0.84789,2,7,0,28.914,0.582843,0.634534
-26.1486,0.878678,0.84789,1,3,0,27.6391,0.714011,0.372332
-26.2014,0.883253,0.84789,2,3,0,26.8011,0.681111,0.226207
-25.9521,0.891114,0.84789,2,3,0,27.0469,0.651938,0.687083
-25.8797,0.761692,0.84789,2,3,0,27.6748,0.627511,0.536831
-26.1851,0.889225,0.84789,2,7,0,26.6562,0.704384,0.289559
-26.2201,0.9864,0.84789,2,7,0,26.3867,0.66172,0.792957
-26.2201,0.494713,0.84789,1,3,0,29.7447,0.66172,0.792957
-29.5028,0.543062,0.84789,3,7,0,29.5238,0.654693,0.993803
-26.75,0.957866,0.84789,3,15,0,29.6649,0.636037,0.88675
-26.0361,0.931574,0.84789,2,3,0,27.2012,0.709498,0.501165
-27.1212,0.619585,0.84789,2,3,0,27.918,0.647524,0.92756
-25.9321,0.976784,0.84789,2,3,0,27.0215,0.678915,0.651004
-26.1784,0.90677,0.84789,1,3,0,26.4618,0.664773,0.220081
-26.7232,0.532564,0.84789,3,15,0,30.2363,0.5989,0.155404
-27.2712,0.995963,0.84789,2,3,0,27.4759,0.691389,0.932182
