# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = binomial_1.data.R
# init = 2 (Default)
# random
#   seed = 3461732707
# output
#   file = binomial_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.847976
# Diagonal elements of inverse mass matrix:
# 0.103309, 3.29418
-26.0891,0.783075,0.847976,2,3,0,27.1385,0.692487,0.706039
-26.0526,1,0.847976,2,3,0,26.1229,0.62177,0.314881
-26.3341,0.931342,0.847976,2,7,0,26.7349,0.718357,0.284461
-27.2587,0.934939,0.847976,3,7,0,27.5218,0.531788,0.722086
-26.1849,1,0.847976,2,3,0,27.3419,0.621698,0.25318
-26.1169,0.969767,0.847976,2,7,0,26.5749,0.712246,0.385515
-25.9663,0.995155,0.847976,2,3,0,26.1837,0.641063,0.683326
-25.963,0.993841,0.847976,2,3,0,26.1911,0.637762,0.324785
-26.8936,0.790385,0.847976,1,3,0,27.716,0.736031,0.179241
-28.3316,0.783014,0.847976,2,3,0,29.2751,0.677802,0.0209799
-26.3527,0.997713,0.847976,2,3,0,28.1895,0.731884,0.611211
-27.7764,0.716535,0.847976,2,3,0,28.181,0.58983,0.0529375
-27.7764,0.864602,0.847976,1,1,0,28.9491,0.58983,0.0529375
-26.3327,0.996539,0.847976,2,3,0,28.7478,0.728054,0.358175
-26.1698,0.537113,0.847976,3,7,0,28.8159,0.593247,0.593676
-25.8908,1,0.847976,2,3,0,26.2052,0.63197,0.404773
-25.9645,0.983308,0.847976,1,1,0,25.971,0.624995,0.363622
-26.0525,0.853874,0.847976,2,7,0,26.7867,0.709706,0.559697
-25.8677,0.9943,0.847976,2,3,0,26.1398,0.629029,0.4866
-26.3485,0.92423,0.847976,2,3,0,26.5255,0.590802,0.292469
-26.5283,0.973534,0.847976,2,3,0,26.8966,0.603387,0.811141
-28.5004,0.701863,0.847976,2,3,0,28.8068,0.63605,0.017757
-26.0281,0.999054,0.847976,2,3,0,28.0891,0.604612,0.504372
