# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = binomial_4.data.R
# init = 2 (Default)
# random
#   seed = 3461110683
# output
#   file = binomial_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.953537
# Diagonal elements of inverse mass matrix:
# 0.0271847, 3.35841
-103.956,0.882344,0.953537,2,3,0,104.588,0.467884,0.401493
-104.904,0.808187,0.953537,1,1,0,105.207,0.451032,0.397362
-103.053,1,0.953537,2,3,0,104.689,0.492031,0.709975
-102.453,0.925996,0.953537,2,3,0,104.11,0.514876,0.253496
-102.087,0.884485,0.953537,2,7,0,103.469,0.590158,0.537062
-102.278,0.848235,0.953537,1,3,0,103.178,0.527525,0.227384
-102.015,1,0.953537,2,3,0,102.467,0.562171,0.24853
-101.991,0.925906,0.953537,2,3,0,102.793,0.559992,0.745298
-101.741,0.882598,0.953537,2,3,0,102.92,0.562502,0.436225
-101.998,0.907145,0.953537,2,3,0,102.189,0.526963,0.376642
-102.497,0.94479,0.953537,2,3,0,102.598,0.596715,0.739902
-107.307,0.467536,0.953537,1,3,0,107.838,0.684206,0.738639
-106.672,1,0.953537,1,1,0,108.154,0.671624,0.84738
-105.979,1,0.953537,2,3,0,106.749,0.43834,0.248767
-102.194,0.957052,0.953537,2,3,0,106.679,0.54995,0.191335
-102.31,0.990759,0.953537,2,3,0,102.576,0.52084,0.741259
-102.31,0.740085,0.953537,1,3,0,104.398,0.52084,0.741259
-102.801,0.850981,0.953537,2,3,0,104.03,0.493765,0.46718
-103.166,0.769942,0.953537,2,3,0,104.038,0.598939,0.118491
-103.559,0.88414,0.953537,2,3,0,104.663,0.496637,0.880084
-101.956,0.991732,0.953537,2,3,0,103.158,0.528386,0.604099
-102.554,0.938437,0.953537,2,7,0,102.567,0.605733,0.375389
-103.291,0.74284,0.953537,2,3,0,104.48,0.584069,0.928668
-103.577,0.966369,0.953537,2,3,0,104.831,0.512596,0.0698113
-102.089,0.931301,0.953537,2,3,0,104.387,0.573121,0.747803
-101.895,0.986462,0.953537,2,3,0,102.429,0.545324,0.307257
-101.933,0.853248,0.953537,2,3,0,103.161,0.551296,0.722984
-102.295,0.938892,0.953537,1,3,0,102.384,0.528403,0.782232
-102.121,1,0.953537,2,3,0,102.462,0.520146,0.37744
-102.215,0.965311,0.953537,1,1,0,102.313,0.521509,0.295691
-102.057,0.923964,0.953537,1,3,0,103.076,0.586638,0.607064
-101.92,0.851257,0.953537,2,3,0,102.804,0.530714,0.601827
-101.942,0.997266,0.953537,2,3,0,102.003,0.578491,0.372077
-101.807,1,0.953537,2,3,0,101.964,0.567802,0.609648
-102.87,0.798543,0.953537,2,3,0,103.608,0.497029,0.293633
-102.041,1,0.953537,2,3,0,102.775,0.525421,0.638979
-102.079,0.965316,0.953537,2,3,0,102.356,0.589703,0.540817
-104.314,0.450559,0.953537,2,3,0,105.064,0.598608,0.0339945
-102.079,0.962865,0.953537,2,3,0,103.998,0.586372,0.367214
-102.539,0.872677,0.953537,1,1,0,102.58,0.591825,0.206976
-103.434,0.889647,0.953537,2,7,0,103.917,0.477998,0.523125
-102.812,1,0.953537,2,3,0,103.718,0.508242,0.193786
-103.079,0.942207,0.953537,2,3,0,104.051,0.605401,0.835769
