# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = binomial_3.data.R
# init = 2 (Default)
# random
#   seed = 2963483434
# output
#   file = binomial_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.740351
# Diagonal elements of inverse mass matrix:
# 0.115981, 3.52958
-27.4895,0.911779,0.740351,3,7,0,30.1745,0.655797,0.951559
-28.6509,0.978121,0.740351,2,5,0,28.6756,0.668255,0.0147742
-27.1346,0.999951,0.740351,3,7,0,28.8785,0.64476,0.0718177
-27.0809,0.974312,0.740351,2,7,0,27.9667,0.736271,0.857152
-25.9297,0.882673,0.740351,1,3,0,28.7631,0.618671,0.462573
-25.9116,0.966168,0.740351,3,11,0,26.2168,0.630972,0.385855
-25.8938,0.959205,0.740351,2,3,0,26.3673,0.689722,0.542191
-27.5847,0.73511,0.740351,2,3,0,28.81,0.510399,0.654419
-28.484,0.957517,0.740351,2,3,0,28.5539,0.474978,0.661003
-29.2438,0.754685,0.740351,3,7,0,31.1714,0.813874,0.878552
-27.0872,1,0.740351,2,3,0,29.3804,0.745554,0.829048
-26.0842,1,0.740351,2,3,0,27.0753,0.698155,0.682607
-26.1078,0.926969,0.740351,2,3,0,27.1259,0.604525,0.63779
-26.3309,0.976006,0.740351,2,3,0,26.5369,0.585776,0.334115
-26.9596,0.622602,0.740351,2,3,0,30.3988,0.737702,0.829641
-26.485,0.939116,0.740351,2,7,0,27.9943,0.572136,0.656348
-26.0356,0.99806,0.740351,3,15,0,26.5556,0.69295,0.325649
-27.5159,0.881058,0.740351,2,3,0,27.7793,0.50977,0.434593
-28.2662,0.952921,0.740351,2,3,0,28.5118,0.497076,0.193946
-26.5121,1,0.740351,2,3,0,28.784,0.717552,0.215077
-27.3098,0.699866,0.740351,1,3,0,31.4813,0.518411,0.493897
-26.0797,1,0.740351,2,3,0,27.3538,0.600145,0.444751
-26.0104,1,0.740351,1,1,0,26.0816,0.607242,0.46817
-25.8979,1,0.740351,2,3,0,26.0328,0.626974,0.571942
-26.0204,0.954553,0.740351,3,11,0,26.3981,0.699073,0.632243
-26.3217,0.960045,0.740351,2,3,0,26.4493,0.663545,0.181449
-26.2998,0.833194,0.740351,3,7,0,28.8587,0.686312,0.795933
-26.2888,1,0.740351,2,7,0,26.317,0.636145,0.198664
-26.8719,0.759093,0.740351,1,3,0,29.3158,0.742447,0.788731
-26.8641,0.968754,0.740351,2,7,0,27.8919,0.541348,0.524929
-27.3055,0.965995,0.740351,3,7,0,27.6942,0.780292,0.563159
-30.0773,0.512096,0.740351,3,7,0,32.2592,0.524539,0.985978
-27.1912,1,0.740351,2,3,0,30.5973,0.763709,0.758391
-30.1833,0.805055,0.740351,2,3,0,31.4463,0.851202,0.476607
-26.1702,0.975427,0.740351,2,5,0,30.0572,0.681587,0.762801
-26.8011,0.941625,0.740351,2,3,0,27.1477,0.758176,0.598619
-29.6732,0.689596,0.740351,3,7,0,30.1951,0.782999,0.025485
-27.4588,1,0.740351,2,3,0,30.4758,0.735414,0.908876
-26.7803,1,0.740351,3,7,0,27.5561,0.629734,0.887343
-26.8997,0.991309,0.740351,1,1,0,27.0242,0.640678,0.905985
-25.9361,0.963874,0.740351,2,3,0,27.5331,0.621991,0.411053
-26.3716,0.887997,0.740351,2,3,0,27.0915,0.698325,0.204619
-26.6592,0.971989,0.740351,2,3,0,27.1485,0.553812,0.54577
-28.3151,0.773047,0.740351,3,7,0,28.8323,0.771884,0.921752
-26.7677,1,0.740351,2,3,0,28.5115,0.751007,0.31417
-27.8,0.867754,0.740351,2,3,0,28.4787,0.760018,0.102485
-30.0919,0.932629,0.740351,3,11,0,30.2821,0.447211,0.882679
-28.7503,1,0.740351,1,1,0,30.0914,0.47128,0.74385
-28.452,1,0.740351,1,1,0,29.0417,0.486025,0.779825
-26.9377,1,0.740351,3,15,0,28.3311,0.745888,0.209411
-28.5298,0.889927,0.740351,2,3,0,28.806,0.753542,0.0404828
-27.2067,1,0.740351,2,3,0,29.2369,0.715538,0.909335
-25.9184,0.990085,0.740351,4,23,0,27.3194,0.624763,0.414093
-25.8148,0.998381,0.740351,2,3,0,25.9422,0.65823,0.436115
-25.8148,0.80419,0.740351,1,3,0,26.7371,0.65823,0.436115
-33.1217,0.295412,0.740351,2,3,0,33.4497,0.585497,0.000250932
-27.4654,0.993781,0.740351,2,3,0,33.2353,0.696743,0.0571637
-26.1543,1,0.740351,2,3,0,27.5315,0.699331,0.284953
-26.018,0.997901,0.740351,2,7,0,26.2089,0.67077,0.715517
-27.3554,0.860426,0.740351,2,3,0,27.5315,0.699525,0.934288
-26.0831,0.986617,0.740351,3,7,0,29.0624,0.642252,0.25898
-25.8294,0.997975,0.740351,2,5,0,26.0828,0.638566,0.497094
-25.9379,0.965767,0.740351,2,3,0,26.0205,0.653162,0.679299
-28.1137,0.713053,0.740351,2,3,0,29.2942,0.806468,0.496967
-29.3385,0.917888,0.740351,2,3,0,29.5846,0.824799,0.811974
-27.3469,0.963176,0.740351,3,7,0,30.3843,0.632813,0.0595119
-26.7491,0.922472,0.740351,2,3,0,29.1503,0.547907,0.518217
-26.8648,0.892858,0.740351,3,7,0,28.0378,0.751571,0.728818
-28.1106,0.928868,0.740351,2,3,0,28.4465,0.805889,0.566446
-28.2561,0.993589,0.740351,3,7,0,28.2869,0.479449,0.466279
-31.0184,0.709127,0.740351,2,3,0,31.9813,0.439882,0.0552769
-27.7822,1,0.740351,2,3,0,31.6048,0.58752,0.0540319
-26.6174,0.980954,0.740351,2,3,0,29.2908,0.562994,0.659557
-26.4376,0.995222,0.740351,3,15,0,26.8171,0.740571,0.5247
-27.6543,0.818828,0.740351,2,3,0,28.0777,0.743062,0.0840711
-28.0289,0.981936,0.740351,1,1,0,28.1823,0.737163,0.0506709
-27.6535,0.938402,0.740351,3,7,0,29.5784,0.613767,0.951857
-30.2097,0.879397,0.740351,2,3,0,30.3383,0.782463,0.0145187
-28.4377,0.976182,0.740351,3,7,0,31.6448,0.519291,0.0869853
-26.0803,1,0.740351,2,3,0,28.2689,0.598921,0.520174
-26.6155,0.969727,0.740351,3,7,0,26.623,0.750704,0.47677
-26.783,0.934383,0.740351,2,3,0,27.3844,0.730693,0.813143
-26.0584,0.973035,0.740351,2,3,0,27.2975,0.697183,0.329071
-26.4116,0.894427,0.740351,2,3,0,27.2329,0.719825,0.741706
-28.1372,0.693149,0.740351,2,3,0,29.5335,0.655132,0.975263
-27.2731,0.89376,0.740351,3,7,0,29.2778,0.639797,0.0627168
-26.0912,1,0.740351,2,3,0,27.3209,0.700606,0.324312
-26.0149,1,0.740351,1,1,0,26.1017,0.692401,0.337001
-27.8034,0.757874,0.740351,2,3,0,27.9572,0.632945,0.0367935
-26.0541,0.913761,0.740351,2,7,0,28.7892,0.70065,0.350039
-26.0438,0.978284,0.740351,2,3,0,26.3323,0.691846,0.316503
-26.3172,0.988262,0.740351,2,3,0,26.3472,0.588539,0.676832
-26.4761,0.967879,0.740351,2,7,0,26.8073,0.631133,0.160389
-26.779,0.988449,0.740351,2,3,0,27.2743,0.564261,0.25008
-26.3129,0.865107,0.740351,1,3,0,28.4819,0.654118,0.816839
-26.2935,0.97796,0.740351,2,3,0,26.8048,0.663392,0.811825
-26.3986,0.876204,0.740351,3,7,0,27.9863,0.652994,0.164514
-26.7898,0.947041,0.740351,3,7,0,27.6557,0.690316,0.885136
