# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = binomial_2.data.R
# init = 2 (Default)
# random
#   seed = 2941235869
# output
#   file = binomial_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.811485
# Diagonal elements of inverse mass matrix:
# 0.0274225, 3.86024
-104.802,0.898354,0.811485,2,3,0,105.251,0.476087,0.925115
-104.389,1,0.811485,2,3,0,106.069,0.586451,0.0236593
-103.693,1,0.811485,1,1,0,104.419,0.579152,0.042777
-107.627,0.748232,0.811485,2,7,0,109.356,0.681943,0.132996
-101.947,1,0.811485,2,3,0,107.192,0.571802,0.311227
-102.189,0.985231,0.811485,3,7,0,102.292,0.58515,0.715872
-103.802,0.79635,0.811485,2,3,0,104.579,0.624077,0.84205
-102.601,1,0.811485,2,3,0,104.206,0.598982,0.243005
-103.11,0.918812,0.811485,1,1,0,103.186,0.613112,0.221231
-104.294,0.76488,0.811485,2,3,0,106.3,0.471668,0.171404
-101.79,1,0.811485,2,3,0,104.148,0.558174,0.361516
-102.533,0.853024,0.811485,1,3,0,103.162,0.504953,0.346594
-102.295,0.958591,0.811485,2,7,0,102.923,0.560804,0.831044
-104.704,0.759861,0.811485,2,3,0,105.481,0.641456,0.851548
-103.905,1,0.811485,1,1,0,104.751,0.631511,0.785887
-102.203,1,0.811485,2,3,0,103.885,0.579842,0.242412
-102.24,0.953528,0.811485,3,7,0,102.931,0.587544,0.281537
-102.07,1,0.811485,2,3,0,102.351,0.559161,0.774096
-103.159,0.648326,0.811485,1,3,0,104.736,0.556643,0.0624978
-101.89,0.976866,0.811485,2,3,0,103.081,0.542531,0.32
-102.936,0.766962,0.811485,1,3,0,103.006,0.541369,0.0842471
-102.553,0.993449,0.811485,2,7,0,103.301,0.514498,0.222097
-102.619,0.968132,0.811485,2,3,0,103.345,0.501924,0.649886
-103.215,0.819598,0.811485,2,3,0,104.008,0.530428,0.0709376
-103.464,0.984145,0.811485,1,1,0,103.635,0.532416,0.052808
-101.91,0.994025,0.811485,2,7,0,103.959,0.539375,0.676426
-102.876,0.767331,0.811485,1,3,0,103.94,0.602779,0.807351
-105.405,0.632708,0.811485,2,3,0,106.102,0.563904,0.993611
-102.268,0.755905,0.811485,2,7,0,106.344,0.535054,0.79995
-102.71,0.975612,0.811485,2,7,0,102.83,0.59464,0.180186
-101.921,0.956951,0.811485,2,3,0,103.495,0.549565,0.715682
-101.973,0.996628,0.811485,2,3,0,101.998,0.565107,0.2714
-101.798,1,0.811485,2,3,0,101.936,0.55977,0.358209
-104.786,0.672728,0.811485,2,3,0,105.027,0.484925,0.0505004
-107.548,0.720297,0.811485,1,1,0,107.551,0.451168,0.0171805
-106.081,0.913344,0.811485,3,15,0,110.574,0.483468,0.985856
-102.649,0.909503,0.811485,3,7,0,106.345,0.514511,0.805197
-103.429,0.917201,0.811485,2,3,0,103.866,0.540517,0.0499368
-101.885,1,0.811485,2,3,0,103.079,0.572748,0.64001
-102.342,0.955242,0.811485,3,11,0,102.518,0.513773,0.318189
-103.392,0.935881,0.811485,2,3,0,103.392,0.494275,0.161501
-102.27,0.997869,0.811485,2,3,0,103.927,0.563466,0.177044
-102.054,1,0.811485,1,1,0,102.289,0.554967,0.229286
-102.072,0.949922,0.811485,1,3,0,102.678,0.553347,0.776273
-103.222,0.911407,0.811485,2,3,0,103.349,0.620273,0.282046
-104.007,0.962524,0.811485,3,7,0,104.036,0.485153,0.882703
-104.144,0.976795,0.811485,1,1,0,104.523,0.481167,0.87857
-104.465,0.94737,0.811485,2,3,0,106.301,0.5334,0.981512
-104.394,0.926143,0.811485,4,27,0,106.552,0.63833,0.822953
-103.589,1,0.811485,2,7,0,104.273,0.486748,0.179721
-102.251,0.975666,0.811485,2,3,0,104.071,0.525652,0.75233
-101.759,1,0.811485,2,3,0,102.241,0.567612,0.472797
-101.783,0.987241,0.811485,2,7,0,101.842,0.548472,0.62406
-101.977,0.982865,0.811485,2,3,0,102.05,0.524873,0.45859
-102.284,0.903317,0.811485,2,7,0,102.691,0.551267,0.169824
-102.299,0.920914,0.811485,1,3,0,103.414,0.572151,0.814045
-102.942,0.778803,0.811485,2,3,0,105.172,0.490045,0.452314
-102.173,0.988286,0.811485,2,3,0,103.105,0.59161,0.620358
-102.176,0.840833,0.811485,1,3,0,104.002,0.51616,0.587875
-102.157,0.927834,0.811485,2,3,0,102.586,0.557211,0.199679
-102.946,0.958504,0.811485,2,3,0,103.145,0.587493,0.112375
-101.999,0.97593,0.811485,1,3,0,103.165,0.547483,0.254421
-102.339,0.9588,0.811485,2,3,0,102.357,0.544043,0.83543
-102.318,0.999481,0.811485,2,3,0,102.49,0.540009,0.175554
-101.82,1,0.811485,2,3,0,102.256,0.568474,0.618269
-101.714,0.998099,0.811485,1,3,0,101.845,0.553637,0.539143
-102.822,0.71322,0.811485,1,3,0,103.104,0.530015,0.889622
-101.722,1,0.811485,2,3,0,102.626,0.550909,0.449223
-104.005,0.508876,0.811485,1,3,0,105.104,0.499631,0.934547
-105.221,0.885929,0.811485,1,1,0,105.288,0.486753,0.970285
-105.753,0.988631,0.811485,3,11,0,105.76,0.476311,0.972763
-103.433,1,0.811485,2,3,0,105.664,0.522676,0.935607
-103.408,0.954291,0.811485,2,7,0,104.351,0.509448,0.0917175
-104.545,0.913829,0.811485,2,3,0,105.725,0.456424,0.465897
-106.266,0.754794,0.811485,1,1,0,106.362,0.430423,0.445832
-103.124,0.959536,0.811485,2,3,0,107.123,0.544124,0.932766
-101.793,0.950334,0.811485,1,3,0,102.991,0.543612,0.609023
-102.262,0.91046,0.811485,2,3,0,102.523,0.51631,0.668238
-102.211,0.99512,0.811485,3,11,0,102.377,0.590469,0.669691
-102.532,0.795788,0.811485,2,3,0,104.382,0.513336,0.76195
-102.262,0.998742,0.811485,2,3,0,102.68,0.564086,0.179514
-104.274,0.825455,0.811485,2,7,0,104.336,0.594781,0.967968
-101.981,1,0.811485,1,3,0,106.049,0.532719,0.325262
-101.727,0.998463,0.811485,2,3,0,102.01,0.562844,0.489726
-101.746,0.986202,0.811485,1,3,0,101.839,0.545551,0.441351
-102.348,0.885472,0.811485,2,3,0,102.805,0.599294,0.604862
-102.181,0.971388,0.811485,2,3,0,102.799,0.594476,0.483084
-102.321,0.958096,0.811485,2,3,0,102.744,0.517886,0.719609
-103.792,0.515495,0.811485,3,7,0,105.646,0.557521,0.967816
-101.815,0.969552,0.811485,1,3,0,104.345,0.538068,0.4202
-103.104,0.514974,0.811485,2,3,0,104.4,0.583521,0.913393
-104.302,0.89597,0.811485,1,1,0,104.306,0.595142,0.968598
-103.745,1,0.811485,2,3,0,104.498,0.571067,0.963425
-104.431,0.969975,0.811485,2,3,0,105.43,0.524583,0.978075
-102.33,0.996895,0.811485,2,3,0,104.548,0.541504,0.829784
-102.462,0.883495,0.811485,1,3,0,103.993,0.58858,0.209029
-103.046,0.928296,0.811485,3,7,0,103.63,0.61162,0.224504
-103.704,0.966131,0.811485,2,3,0,103.808,0.626102,0.200352
-102.487,0.955313,0.811485,2,3,0,104.716,0.503402,0.460258
-102.717,0.781905,0.811485,2,7,0,103.75,0.543202,0.105958
-102.293,0.965484,0.811485,2,7,0,103.021,0.597112,0.607823
-102.623,0.929612,0.811485,3,15,0,102.986,0.516711,0.811368
-102.484,0.99951,0.811485,2,3,0,102.927,0.59274,0.229774
-102.299,0.976225,0.811485,2,3,0,102.983,0.597781,0.594954
-102.248,0.84519,0.811485,1,3,0,103.699,0.535653,0.796399
-102.248,0.63875,0.811485,1,3,0,106.129,0.535653,0.796399
-102.391,0.990943,0.811485,2,3,0,102.774,0.510635,0.337168
-102.385,0.990716,0.811485,2,3,0,102.65,0.525281,0.206678
-102.56,0.995858,0.811485,2,3,0,102.777,0.560678,0.877258
-103.075,0.89638,0.811485,2,3,0,104.105,0.595329,0.11822
-103.007,0.98376,0.811485,2,3,0,103.739,0.509024,0.852303
-103.007,0.932258,0.811485,1,1,0,103.532,0.509024,0.852303
-103.365,0.981199,0.811485,2,3,0,103.579,0.493478,0.826883
-103.515,1,0.811485,2,3,0,103.948,0.476983,0.595622
-103.75,0.8256,0.811485,2,3,0,105.573,0.491915,0.116637
-101.917,1,0.811485,2,3,0,103.451,0.575642,0.639188
-101.917,0.845932,0.811485,1,3,0,102.652,0.575642,0.639188
-102.483,0.813539,0.811485,1,3,0,103.841,0.509245,0.303088
-102.238,0.744792,0.811485,2,3,0,105.706,0.523777,0.734657
-102.271,0.998005,0.811485,2,3,0,102.589,0.522958,0.258348
-104.07,0.739495,0.811485,2,7,0,104.302,0.569632,0.974202
-106.074,1,0.811485,2,3,0,106.271,0.515725,0.00498928
-104.524,0.830979,0.811485,3,7,0,108.193,0.463818,0.214428
-102.499,1,0.811485,2,3,0,104.799,0.515889,0.770995
-103.347,0.897114,0.811485,2,3,0,103.969,0.620956,0.242715
-103.462,1,0.811485,2,3,0,103.834,0.63044,0.529962
-102.302,0.827153,0.811485,3,7,0,105.782,0.599221,0.515999
-103.469,0.473524,0.811485,2,3,0,105.675,0.544178,0.953461
-103.523,0.839001,0.811485,4,19,0,105.867,0.510561,0.0783126
-104.141,0.90598,0.811485,1,1,0,104.352,0.492103,0.0748003
-101.73,1,0.811485,2,3,0,103.674,0.561994,0.543236
-101.716,0.901412,0.811485,2,3,0,102.201,0.559193,0.525789
-101.716,0.458433,0.811485,1,3,0,104,0.559193,0.525789
-102.01,0.93036,0.811485,1,3,0,102.316,0.522677,0.510547
-101.843,0.961579,0.811485,2,3,0,102.328,0.554793,0.321653
-102.274,0.966265,0.811485,2,3,0,102.336,0.513017,0.615526
-102.973,0.884187,0.811485,2,3,0,103.113,0.51425,0.868547
-105.967,0.818717,0.811485,2,7,0,106.314,0.64312,0.0408978
-104.037,1,0.811485,2,3,0,105.787,0.612187,0.0709851
-102.346,0.995177,0.811485,2,3,0,104.462,0.515579,0.706944
-102.064,0.961168,0.811485,2,7,0,102.709,0.58711,0.604045
-102.566,0.509539,0.811485,3,11,0,106.288,0.590295,0.808932
-102.43,1,0.811485,2,3,0,102.855,0.580296,0.17969
-102.808,0.922672,0.811485,2,3,0,103.737,0.605224,0.233661
-102.404,0.970581,0.811485,2,3,0,103.366,0.517489,0.750312
-101.722,0.986019,0.811485,1,3,0,102.544,0.554668,0.561237
-103.092,0.610964,0.811485,1,3,0,103.715,0.541738,0.0708045
-103.123,0.964412,0.811485,2,3,0,103.763,0.51643,0.895733
-103.123,0.939594,0.811485,1,1,0,103.646,0.51643,0.895733
-102.331,1,0.811485,2,3,0,103.061,0.53782,0.822649
-102.205,1,0.811485,2,3,0,102.499,0.521582,0.699744
-102.298,0.830879,0.811485,1,3,0,104.126,0.591955,0.298804
-101.785,1,0.811485,2,3,0,102.229,0.542823,0.593542
-101.964,0.910308,0.811485,2,3,0,102.383,0.584087,0.485596
-101.879,0.984428,0.811485,2,3,0,102.109,0.56677,0.673759
-101.879,0.777747,0.811485,2,3,0,103.916,0.56677,0.673759
-101.881,0.998568,0.811485,2,3,0,101.925,0.557557,0.301558
-102.36,0.972542,0.811485,2,3,0,102.371,0.589457,0.752148
-102.867,0.912723,0.811485,2,3,0,103.156,0.54368,0.089252
-104.379,0.992088,0.811485,2,3,0,104.636,0.500981,0.957906
-103.865,1,0.811485,1,1,0,104.508,0.50988,0.944789
-103.298,0.977818,0.811485,2,3,0,105.013,0.54894,0.0544296
-102.788,1,0.811485,1,1,0,103.345,0.540743,0.0999322
-103.433,0.925583,0.811485,2,7,0,104.742,0.610518,0.868928
-103.232,1,0.811485,2,3,0,104.427,0.613001,0.186804
-102.707,1,0.811485,2,7,0,103.597,0.558276,0.897038
-102.453,1,0.811485,2,3,0,102.768,0.561892,0.860081
-103.018,0.947728,0.811485,2,3,0,103.826,0.618849,0.624772
-103.49,0.49883,0.811485,2,3,0,108.415,0.506685,0.0911426
-103.991,1,0.811485,2,3,0,104.669,0.590153,0.961487
-103.334,0.943923,0.811485,2,7,0,104.657,0.574116,0.0582912
-103.932,0.955097,0.811485,2,3,0,104.171,0.507329,0.944692
-101.885,0.977898,0.811485,2,3,0,103.819,0.558333,0.699866
-101.78,0.845266,0.811485,2,3,0,102.873,0.540579,0.442335
-102.752,0.717189,0.811485,1,3,0,103.022,0.554037,0.097462
-103.791,0.833075,0.811485,2,3,0,104.998,0.611967,0.907839
-103.889,0.976518,0.811485,2,5,0,104.322,0.597258,0.94891
-108.325,0.948764,0.811485,5,47,0,108.633,0.648701,0.00516134
-102.212,1,0.811485,2,3,0,107.287,0.569968,0.797329
-102.27,0.939878,0.811485,2,3,0,102.889,0.590327,0.294949
-102.816,0.903525,0.811485,1,1,0,102.84,0.604922,0.228095
-102.139,1,0.811485,2,3,0,102.838,0.576712,0.24958
-102.017,0.831905,0.811485,2,3,0,103.778,0.576372,0.698427
-102.347,0.973417,0.811485,2,3,0,102.404,0.570483,0.82882
-102.741,0.890726,0.811485,2,3,0,104.076,0.592416,0.162261
-103.062,0.957801,0.811485,2,7,0,103.316,0.505522,0.844593
-102.787,1,0.811485,1,1,0,103.181,0.516136,0.844082
-101.957,0.933273,0.811485,4,15,0,103.869,0.582331,0.423163
-102.21,0.852303,0.811485,1,3,0,103.139,0.528849,0.243783
-102.189,0.979205,0.811485,2,3,0,102.557,0.518379,0.648707
-102.151,0.852075,0.811485,1,3,0,103.887,0.591243,0.605541
-101.787,0.926331,0.811485,3,11,0,103.026,0.564677,0.388495
-103.879,0.405142,0.811485,2,3,0,105.206,0.579491,0.96455
-101.811,1,0.811485,1,3,0,104.702,0.542209,0.382474
-102.018,0.934639,0.811485,2,3,0,102.362,0.586767,0.53513
-101.869,0.991079,0.811485,2,3,0,102.157,0.576905,0.436939
-101.762,0.917527,0.811485,2,3,0,102.26,0.541155,0.494171
-103.024,0.646459,0.811485,1,3,0,103.41,0.540796,0.0768998
-103.96,0.899041,0.811485,2,7,0,104.35,0.610168,0.928463
-102.141,1,0.811485,2,3,0,103.877,0.586763,0.326855
-102.789,0.87382,0.811485,2,3,0,102.876,0.583666,0.124071
-102.442,0.919162,0.811485,2,7,0,103.448,0.50749,0.36199
-101.768,0.99957,0.811485,2,3,0,102.491,0.56367,0.40442
-102.851,0.727555,0.811485,2,3,0,103.042,0.556315,0.0873837
-102.519,1,0.811485,2,3,0,102.909,0.563898,0.130963
-101.955,0.946075,0.811485,2,3,0,103.271,0.56043,0.730193
-101.76,0.959308,0.811485,3,11,0,102.458,0.541469,0.489449
-101.714,0.993635,0.811485,2,7,0,101.827,0.558446,0.472572
-102.136,0.925646,0.811485,2,3,0,102.179,0.522005,0.663739
-102.245,0.975596,0.811485,1,1,0,102.305,0.519634,0.700249
-102.331,0.986564,0.811485,1,1,0,102.417,0.515416,0.697081
-103.637,0.679529,0.811485,2,3,0,104.317,0.540218,0.95975
-103.166,1,0.811485,1,1,0,103.752,0.531293,0.926144
-102.498,1,0.811485,2,3,0,103.442,0.566021,0.863667
-102.659,0.842836,0.811485,2,7,0,104.542,0.525809,0.144392
-103.296,0.914168,0.811485,1,1,0,103.343,0.516797,0.0851576
-103.31,0.802383,0.811485,3,7,0,107.909,0.532426,0.0621814
-102.402,0.9483,0.811485,2,7,0,103.819,0.593084,0.262747
-104.038,0.746105,0.811485,2,3,0,104.243,0.59682,0.0432021
-103.139,0.94569,0.811485,2,3,0,105.182,0.56493,0.934111
-102.063,1,0.811485,2,7,0,102.95,0.538117,0.255413
-102.049,0.983409,0.811485,3,11,0,102.475,0.578111,0.702829
-102.38,0.878763,0.811485,2,3,0,102.781,0.585813,0.217355
-102.127,0.938982,0.811485,2,3,0,103.412,0.571604,0.767047
-101.719,0.990939,0.811485,2,3,0,102.202,0.54865,0.494077
-101.795,0.975769,0.811485,2,3,0,101.853,0.556655,0.643837
-102.652,0.925485,0.811485,2,3,0,102.677,0.499727,0.382045
-102.636,0.877398,0.811485,3,11,0,103.545,0.609824,0.557622
-102.042,1,0.811485,2,3,0,102.696,0.521057,0.514903
-102.107,0.855889,0.811485,1,3,0,103.266,0.57839,0.271804
-102.03,0.902287,0.811485,2,3,0,103.356,0.579776,0.67855
-101.899,0.995055,0.811485,2,3,0,102.173,0.578461,0.421175
-102.875,0.890914,0.811485,2,3,0,103.075,0.6147,0.638846
-103.49,0.707232,0.811485,2,7,0,104.99,0.481579,0.720123
-102.437,1,0.811485,2,3,0,103.929,0.53187,0.830679
-101.91,1,0.811485,2,3,0,102.471,0.579045,0.418142
-101.764,0.995675,0.811485,2,3,0,101.945,0.564871,0.581549
-102.503,0.869045,0.811485,2,3,0,102.759,0.518088,0.787182
-102.601,0.996849,0.811485,2,3,0,102.739,0.598665,0.240136
-102.561,0.963453,0.811485,2,7,0,103.286,0.561554,0.123111
-101.819,0.989519,0.811485,1,3,0,102.429,0.566496,0.368658
-102.621,0.851553,0.811485,2,3,0,102.971,0.537821,0.124606
-102.516,0.970202,0.811485,2,3,0,103.472,0.555871,0.127758
-102.293,0.92162,0.811485,1,3,0,103.7,0.561176,0.830433
-101.823,0.994555,0.811485,1,3,0,102.451,0.567956,0.37481
-101.766,1,0.811485,2,3,0,101.894,0.555382,0.61891
-102.196,0.910783,0.811485,2,3,0,102.521,0.583934,0.271252
-102.507,0.668672,0.811485,2,3,0,104.632,0.573426,0.854196
-102.607,0.997606,0.811485,2,3,0,102.816,0.569689,0.123898
-103.297,0.930221,0.811485,1,1,0,103.343,0.564333,0.0554444
-101.825,1,0.811485,2,3,0,103.162,0.539359,0.392527
-101.948,0.899575,0.811485,2,3,0,102.848,0.529221,0.609208
-104.25,0.334773,0.811485,2,3,0,107.233,0.52115,0.0281989
-102.456,0.893017,0.811485,2,3,0,105.226,0.58122,0.176933
-102.456,0.933949,0.811485,1,1,0,102.888,0.58122,0.176933
-102.14,0.998804,0.811485,2,3,0,102.712,0.590662,0.607906
-101.746,0.985222,0.811485,3,11,0,102.213,0.564098,0.442764
-101.834,0.961257,0.811485,1,3,0,102.017,0.542176,0.638618
-101.968,0.919963,0.811485,2,3,0,102.175,0.54573,0.270533
-102.181,0.986841,0.811485,2,3,0,102.214,0.538227,0.784911
-102.164,1,0.811485,2,3,0,102.277,0.561202,0.200497
-102.859,0.891122,0.811485,1,1,0,102.868,0.569583,0.0930017
-102.976,0.987257,0.811485,1,1,0,103.154,0.571182,0.0830659
-101.879,0.92738,0.811485,1,3,0,103.199,0.536547,0.366694
-101.99,0.91685,0.811485,2,3,0,102.342,0.570137,0.281321
-103.888,0.795301,0.811485,2,3,0,104.268,0.509428,0.0545588
-102.456,0.9745,0.811485,2,3,0,104.182,0.506729,0.631903
-102.456,0.459478,0.811485,2,3,0,106.173,0.506729,0.631903
-103.776,0.846562,0.811485,2,3,0,104.013,0.478567,0.221943
-103.811,0.925358,0.811485,2,3,0,105.432,0.506007,0.934462
-103.931,0.988403,0.811485,2,3,0,105.301,0.553806,0.97217
-103.206,1,0.811485,1,1,0,103.932,0.558371,0.940408
-101.906,0.928585,0.811485,2,3,0,104.204,0.57833,0.409423
-102.431,0.86784,0.811485,2,3,0,102.861,0.570739,0.154599
-102.669,0.978052,0.811485,2,7,0,102.924,0.591544,0.826836
-102.182,1,0.811485,1,1,0,102.623,0.576926,0.764801
-102.191,0.911126,0.811485,2,7,0,103.084,0.554676,0.190242
-102.497,0.982754,0.811485,2,3,0,102.577,0.565745,0.136106
-102.461,0.997881,0.811485,2,3,0,102.648,0.552656,0.86352
-101.759,0.98615,0.811485,2,3,0,102.525,0.566864,0.454914
-102.739,0.761714,0.811485,2,3,0,102.888,0.528748,0.87588
-103.045,0.969426,0.811485,1,1,0,103.194,0.536746,0.921674
-102.333,1,0.811485,2,3,0,103.115,0.585651,0.231189
-103.411,0.878182,0.811485,3,7,0,104.047,0.484002,0.730138
-104.593,0.927951,0.811485,2,3,0,104.874,0.482909,0.932199
-101.913,0.87365,0.811485,1,3,0,105.553,0.562057,0.707858
-101.896,1,0.811485,2,3,0,101.934,0.552732,0.293537
-101.972,0.995879,0.811485,2,3,0,102,0.538553,0.706421
-101.972,0.710009,0.811485,1,3,0,103.531,0.538553,0.706421
-103.001,0.841114,0.811485,2,3,0,103.551,0.511584,0.862698
-102.472,1,0.811485,2,3,0,102.955,0.519753,0.788482
-102.697,0.986996,0.811485,2,3,0,102.972,0.59035,0.161855
-103.477,0.933228,0.811485,3,7,0,103.842,0.490452,0.827268
-101.92,1,0.811485,2,3,0,103.592,0.569609,0.684976
-102.424,0.860796,0.811485,2,3,0,103.426,0.508672,0.649468
-102.901,0.890852,0.811485,1,1,0,102.975,0.505191,0.807092
-103.596,0.895612,0.811485,1,1,0,103.723,0.505916,0.91697
-103.811,0.970129,0.811485,2,7,0,103.916,0.604551,0.0691014
-102.671,1,0.811485,2,3,0,103.956,0.56598,0.111394
-101.907,0.911671,0.811485,2,3,0,103.833,0.528834,0.478613
-103.789,0.73031,0.811485,2,3,0,104.039,0.611389,0.909675
-102.855,1,0.811485,1,1,0,103.687,0.59604,0.843225
-101.897,0.984899,0.811485,2,3,0,103.021,0.536707,0.649073
-102.259,0.931768,0.811485,2,3,0,102.376,0.529978,0.221645
-101.914,1,0.811485,2,3,0,102.18,0.536247,0.341936
-102.835,0.679576,0.811485,1,3,0,103.723,0.554311,0.91117
-102.031,0.921178,0.811485,2,3,0,103.907,0.529142,0.325006
-103.789,0.758166,0.811485,2,3,0,103.928,0.608035,0.920248
-101.994,1,0.811485,2,3,0,103.446,0.541968,0.269677
-102.078,0.954863,0.811485,2,3,0,102.526,0.545577,0.770363
-102.119,0.990419,0.811485,1,1,0,102.209,0.548555,0.787057
-102.599,0.974338,0.811485,2,3,0,102.876,0.515442,0.797717
-102.983,0.933894,0.811485,1,1,0,103.074,0.511221,0.858111
-102.903,1,0.811485,2,3,0,103.062,0.59427,0.140447
-103.046,0.979763,0.811485,2,7,0,103.516,0.567565,0.0743504
-103.711,0.960336,0.811485,1,1,0,103.808,0.555686,0.0349356
-103.14,0.990879,0.811485,2,3,0,104.532,0.554717,0.0637178
-103.275,0.989336,0.811485,1,1,0,103.476,0.561185,0.0559177
