# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = binomial_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = binomial_4.data.R
# init = 2 (Default)
# random
#   seed = 2963202313
# output
#   file = binomial_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,thetaprior
# Adaptation terminated
# Step size = 0.886861
# Diagonal elements of inverse mass matrix:
# 0.0278758, 2.97287
-101.781,0.926341,0.886861,2,3,0,102.272,0.55489,0.366955
-101.952,0.81659,0.886861,2,3,0,103.323,0.528774,0.605315
-104.11,0.644708,0.886861,2,3,0,104.469,0.529076,0.971718
-102.917,0.996956,0.886861,2,3,0,104.618,0.551604,0.918564
-102.355,0.960644,0.886861,2,3,0,103.474,0.509616,0.610689
-102.129,0.971953,0.886861,2,3,0,102.692,0.588495,0.360156
-103.077,0.783216,0.886861,2,3,0,103.44,0.566379,0.928789
-103.245,0.993556,0.886861,2,3,0,103.416,0.57298,0.936711
-102.067,0.979967,0.886861,2,3,0,103.467,0.588154,0.580893
-102.11,0.946891,0.886861,2,3,0,102.519,0.518723,0.427476
-101.737,0.994028,0.886861,2,3,0,102.16,0.549429,0.427225
-101.939,0.891946,0.886861,2,3,0,102.61,0.582207,0.54291
-102.995,0.745329,0.886861,2,3,0,103.358,0.591967,0.118416
-103.781,0.898584,0.886861,1,1,0,103.838,0.603414,0.0688399
-102.86,1,0.886861,1,1,0,103.682,0.586305,0.120871
-102.008,0.905245,0.886861,1,3,0,103.891,0.523596,0.560999
-101.979,0.913797,0.886861,2,7,0,102.487,0.583807,0.429698
-106.162,0.490937,0.886861,1,3,0,107.013,0.672621,0.36791
-102.109,0.93394,0.886861,1,3,0,106.303,0.583655,0.311883
-101.988,1,0.886861,2,3,0,102.155,0.535765,0.69978
-102.963,0.899154,0.886861,2,7,0,102.978,0.598289,0.147538
-102.911,1,0.886861,2,7,0,102.965,0.513195,0.854171
-103,0.896819,0.886861,2,7,0,105.188,0.566025,0.0772391
-101.906,0.996255,0.886861,2,3,0,103.073,0.552645,0.288631
-102.215,0.979928,0.886861,2,3,0,102.25,0.585044,0.728489
-101.709,0.994277,0.886861,1,3,0,102.246,0.555236,0.518241
-104.131,0.397709,0.886861,1,3,0,105.661,0.570631,0.0244599
-102.597,0.994475,0.886861,2,3,0,104.207,0.544634,0.120379
-102.368,1,0.886861,2,3,0,102.939,0.578894,0.189409
-106.472,0.559534,0.886861,2,3,0,106.975,0.446062,0.073625
-102.954,0.554137,0.886861,1,3,0,112.553,0.618745,0.532502
-101.849,0.999682,0.886861,2,7,0,102.776,0.534127,0.562805
-108.775,0.440674,0.886861,2,3,0,108.881,0.694237,0.127877
-108.393,1,0.886861,1,1,0,109.824,0.688959,0.112352
-101.941,1,0.886861,2,3,0,108.004,0.582804,0.50048
-104.895,0.526049,0.886861,2,3,0,104.976,0.513335,0.98263
-103.39,1,0.886861,2,3,0,105.393,0.582458,0.937703
-103.722,0.893431,0.886861,2,7,0,105.706,0.564937,0.0356402
-102.629,0.981523,0.886861,2,3,0,104.124,0.603998,0.70889
-104.08,0.905225,0.886861,2,3,0,104.135,0.621417,0.900029
-104.09,0.999134,0.886861,2,7,0,104.784,0.500257,0.0585149
-104.09,0.77788,0.886861,1,1,0,105.499,0.500257,0.0585149
-103.801,1,0.886861,1,1,0,104.378,0.49697,0.0900127
-105.585,0.950959,0.886861,2,3,0,105.769,0.489171,0.0185685
-104.055,1,0.886861,1,1,0,105.466,0.506077,0.0504017
-102.9,1,0.886861,2,3,0,104.364,0.559633,0.916672
-102.929,0.964803,0.886861,2,3,0,103.62,0.503262,0.200566
-102.19,0.796882,0.886861,2,7,0,104.643,0.593945,0.424509
-102.936,0.653102,0.886861,2,3,0,104.596,0.529378,0.901953
-101.721,1,0.886861,2,3,0,102.771,0.547984,0.506503
